game_id,game_date,home_team,away_team,home_score,away_score,margin,closing_spread,home_ortg_10,home_drtg_10,home_net_rtg_10,home_pace_10,home_win_pct_10,home_rest_days,home_b2b,away_ortg_10,away_drtg_10,away_net_rtg_10,away_pace_10,away_win_pct_10,away_rest_days,away_b2b
0022300103,2023-10-30,WAS,BOS,107,126,-19,,113.33333333333331,125.0,-11.666666666666686,100.0,0.3333333333333333,2,0,117.66666666666669,107.33333333333331,10.333333333333371,100.0,1.0,3,0
0022300104,2023-10-30,ATL,MIN,127,113,14,,121.0,116.25,4.75,100.0,0.5,1,1,104.33333333333331,104.66666666666669,-0.33333333333337123,100.0,0.3333333333333333,2,0
0022300105,2023-10-30,TOR,POR,91,99,-8,,99.5,102.75,-3.25,100.0,0.25,2,0,101.25,110.5,-9.25,100.0,0.25,1,1
0022300106,2023-10-30,MEM,DAL,110,125,-15,,106.0,114.25,-8.25,100.0,0.0,2,0,125.33333333333331,116.33333333333331,9.0,100.0,1.0,3,0
0022300107,2023-10-30,MIL,MIA,122,114,8,,116.66666666666669,119.33333333333331,-2.6666666666666288,100.0,0.6666666666666666,1,1,104.5,112.25,-7.75,100.0,0.25,2,0
0022300108,2023-10-30,NOP,GSW,102,130,-28,,103.0,107.0,-4.0,100.0,0.6666666666666666,2,0,115.5,104.75,10.75,100.0,0.75,1,1
0022300109,2023-10-30,OKC,DET,124,112,12,,112.75,112.25,0.5,100.0,0.75,1,1,110.75,107.0,3.75,100.0,0.5,2,0
0022300110,2023-10-30,DEN,UTA,110,102,8,,116.25,102.0,14.25,100.0,1.0,1,1,110.0,121.0,-11.0,100.0,0.25,2,0
0022300111,2023-10-30,LAL,ORL,106,103,3,,110.0,112.25,-2.25,100.0,0.5,1,1,107.0,96.33333333333331,10.666666666666686,100.0,0.6666666666666666,3,0
0022300112,2023-10-31,CLE,NYK,91,109,-18,,105.75,113.75,-8.0,100.0,0.25,3,0,106.5,103.75,2.75,100.0,0.5,3,0
0022300113,2023-10-31,PHX,SAS,114,115,-1,,110.75,105.75,5.0,100.0,0.5,3,0,110.75,121.25,-10.5,100.0,0.5,2,0
